alias_id,club,lodging_label,division_key,school,rooms,schedule_team,games
36,Lensbygda,J2012,J2012,YDALIR,2.062,Lensbygda,18
37,Lensbygda,J2015,J2015,YDALIR,2.043,Lensbygda,18
38,Lervik,J2008,J2008,YDALIR,1.085,Lervik,4
39,Lisleby,"J2014,2 lag",J2014,FRYDENLUND,D128,Lisleby Blå,4
40,Lisleby,"J2014,2 lag",J2014,FRYDENLUND,D128,Lisleby Gul,4
41,Ottestad,"G2012,2 lag",G2012,YDALIR,2.060,Ottestad,12
42,Ottestad,"G2012,2 lag",G2012,YDALIR,2.060,Ottestad 2,4
43,Ring IL,G2013,G2013,ELVERUM UNGDOMSSKOLE,B306,Ring IL,21
44,Ring IL,G2015,G2015,ELVERUM UNGDOMSSKOLE,B303,Ring IL,21
45,Ring IL,J2010,J2010,ELVERUM UNGDOMSSKOLE,B305,Ring IL,21
46,Ring IL,J2012+J2011,J2012,ELVERUM UNGDOMSSKOLE,B304,Ring IL,21
47,Røros,"G2014,2 lag",G2014,ELVERUM UNGDOMSSKOLE,A002,Røros,20
48,Røros,"G2014,2 lag",G2014,ELVERUM UNGDOMSSKOLE,A002,Røros 2,12
49,Røros,G2015,G2015,ELVERUM UNGDOMSSKOLE,A104,Røros,20
50,Røros,J2011,J2011,ELVERUM UNGDOMSSKOLE,A004,Røros,20
51,Røros,J2013,J2013,ELVERUM UNGDOMSSKOLE,A101,Røros,20
52,Røros,J2015,J2015,ELVERUM UNGDOMSSKOLE,A103,Røros,20
53,Skarnes,G2015,G2015,ELVERUM UNGDOMSSKOLE,B307,Skarnes,8
54,Skarnes,"J2015,2 lag",J2015,ELVERUM UNGDOMSSKOLE,B309,Skarnes,8
55,Skarnes,"J2015,2 lag",J2015,ELVERUM UNGDOMSSKOLE,B309,Skarnes 2,4
56,Skjetten,J2008,J2008,YDALIR,1.072,Skjetten,5
57,Storhamar,"J2012,2 lag",J2012,ELVERUM UNGDOMSSKOLE,B301,Storhamar,4
58,Storhamar,"J2012,2 lag",J2012,ELVERUM UNGDOMSSKOLE,B301,Storhamar 2,4
59,Sverresborg,"G2012,2 lag",G2012,ELVIS,C126,Sverresborg,25
60,Sverresborg,"G2012,2 lag",G2012,ELVIS,C126,Sverresborg 2,21
61,Sverresborg,G2014,G2014,ELVIS,C119,Sverresborg,25
62,Sverresborg,J2011,J2011,ELVIS,C120,Sverresborg,25
63,Sverresborg,J2012,J2012,ELVIS,B138,Sverresborg,25
64,Sverresborg,"J2013,2 lag",J2013,ELVIS,C127,Sverresborg,25
65,Sverresborg,"J2013,2 lag",J2013,ELVIS,C127,Sverresborg 2,21
66,Sverresborg,"J2014,2 lag",J2014,ELVIS,"C111,C210",Sverresborg,25
67,Sverresborg,"J2014,2 lag",J2014,ELVIS,"C111,C210",Sverresborg 2,21
68,Trysil,G2014,G2014,YDALIR,2.051,Trysil,13
69,Trysil,J2011,J2011,YDALIR,2.049,Trysil,13
70,Trysil,J2014,J2014,YDALIR,2.076,Trysil IL,4
71,Tune IL,"J2013,2 lag",J2013,ELVERUM UNGDOMSSKOLE,A012,Tune Grønn,4
72,Tune IL,"J2013,2 lag",J2013,ELVERUM UNGDOMSSKOLE,A012,Tune Rød,4
73,Tydal,"J2013,2 lag",J2013,FRYDENLUND,D124,Tydal,4
74,Tydal,"J2013,2 lag",J2013,FRYDENLUND,D124,Tydal 2,4
75,Utleira,J2010,J2010,ELVIS,E163,Utleira,13
76,Utleira,"J2011,2 lag",J2011,ELVIS,E162,Utleira,13
77,Utleira,"J2011,2 lag",J2011,ELVIS,E162,Utleira 2,7
78,Varde IL,"J2012,2 lag",J2012,ELVERUM UNGDOMSSKOLE,"A011,grupperom i A",Varde,10
79,Varde IL,"J2012,2 lag",J2012,ELVERUM UNGDOMSSKOLE,"A011,grupperom i A",Varde 2,8
80,Årdalstangen,J2011,J2011,ELVIS,B120,Årdalstangen,5
